Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
254;Anthony, The Temptations of St - London - Sotheby's;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1535 - 1540;Panel;12 x 12
255;Anthony, The Temptations of St - London - Sotheby's;Bril, Paul (1554 -1626) - in lines of;1590 - 1600;Oil on copper;22,2 x 27,8
256;Anthony, The Temptations of St - London - Sotheby's;Pieter Huys or Jan Mandijn;1500-1550;Oil on panel;73 x 145
257;Anthony, The Temptations of St - London - Sotheby's;Teniers, David The Younger (1610 - 1690);1632 (dated);Oil on panel;44 x 57
258;Anthony, The Temptations of St - London - Sotheby's;Jan Mandijn (c. 1500-1560) - possibly;16th-century;Oil on panel;54,5 x 73
259;Anthony, The Temptations of St - London - Sotheby's;Mandijn Jan (c. 1500 - 1560);16th-century;Oil on panel;65,5 x 84
260;Anthony, The Temptations of St - London - Sotheby's;Huys, Pieter (1519 - 1581) or Mandijn, Jan (c. 1500 - 1560);;Oil on oak panel;41,8 x 57
261;Anthony, The Temptations of St - London - Sotheby's;Anonymous;;Olie op eiken paneel;53 x 60
262;Anthony, The Temptations of St - London - Sotheby's;David Teniers The Younger (1610-1690);1625-1690;Oil on canvas;31 x 53,5
263;Anthony, The Temptations of St - London - Sotheby's 2021;Bril, Paul (1554 -1626);;Oil on copper;19,5 x 25
264;Anthony, The Temptations of St - Lucerne - Luzern;David Teniers The Younger (1610-1690);1640;Oil on panel;27,5 x 22,8
265;Anthony, The Temptations of St - Lucerne - Luzern - Galerie Fischer;Anonymous;1500-1549;Oil on Panel;35 x 45
266;Anthony, The Temptations of St - Lyon;Johan Sadeler (1550 - 1600) After Maerten de Vos;;Engraving;16,7 x 19,9
267;Anthony, The Temptations of St - Madrid;Patinir, Joachim (ca. 1480 - 1524) and Mandijn, Jan (c. 1500 - 1560);c. 1520 - 1524;Oil on panel;155 x173
268;Anthony, The Temptations of St - Madrid;Anonymous;1500 - 1510;Oil on wood;70 x 115
269;Anthony, The Temptations of St - Madrid;Teniers, David The Younger (1610 - 1690);1665 -1670;Oil on copper;55 x 69
270;Anthony, The Temptations of St - Madrid;Anonymous;After 1490;Oil on oak;73 x 52,5
271;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);1665-1670;Oil on canvas;79 x 110
272;Anthony, The Temptations of St - Madrid;Wellens de Cock, Jan (1478 - c. 1528);1520;Oil on panel;60 x 45,5
273;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);1647;Oil on panel;51 x 71
274;Anthony, The Temptations of St - Madrid;Coecke van Aelst, Pieter (1502 - 1550);1543 -1550;Oil on panel;41 x 53
275;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);;Oil on canvas;56,5 x 70,3
276;Anthony, The Temptations of St - Madrid - Duran Subastas de Arte;Anonymous;;Oil on wood;74 x 104
277;Anthony, The Temptations of St - Middelburg;David Teniers The Younger (1610-1690) - After;18th century;Copper on Panel;22 x 16
278;Anthony, The Temptations of St - Milano;David Teniers The Younger (1610-1690) - After - Italian School;17th-century;Oil on panel;40 x 27
279;Anthony, The Temptations of St - Milano;Anonymous - Related to Cornelis Engebrechtszn.;1500-1550;;
280;Anthony, The Temptations of St - Minneapolis;David Teniers The Younger (1610-1690);;Oil on Panel;48,6 x 63,8
281;Anthony, The Temptations of St - Monaco;David Teniers The Younger (1610-1690);;Oil on panel;44,5 x 56
282;Anthony, The Temptations of St - Montreal and Geneva;Anonymous;;;72,5 x 99
283;Anthony, The Temptations of St - Moscow;David Teniers The Younger (1610-1690);;;
284;Anthony, The Temptations of St - Moscow;Bruegel, Pieter the Younger (c. 1564 - 1638);After 1616;;
285;Anthony, The Temptations of St - Moscow;Savoldo, Giovanni Gerolamo (1480 - 1548);1524;Oil on panel;53 x 86
286;Anthony, The Temptations of St - Moscow;David Teniers The Younger (1610-1690) - After;;Oil on panel;24 x 34
287;Anthony, The Temptations of St - Munich;Mandijn Jan (c. 1500 - 1560);;Oil on oak;25 x 33,7
288;Anthony, The Temptations of St - Munich;Anonymous;15/16th -century;Oil on wood;37 x 47,5
289;Anthony, The Temptations of St - Munich;Anonymous - Flemish painter;17th-century;Oil on wood;48 x 38
290;Anthony, The Temptations of St - Munich;Bles, Herri met de (c. 1480/1510 - c. 1555);1525-1550;;
291;Anthony, The Temptations of St - Munich;Anonymous - Flandres;;Oak;13,4
292;Anthony, The Temptations of St - Munich;Swanenburgh Jacob Isaakzn van, (1571 - 1638);1583;Oil on panel;56,7 x 99,7
293;Anthony, The Temptations of St - Munich;Anonymous;;Canvas;370 x 180
294;Anthony, The Temptations of St - Munich;Bruegel, Pieter the Younger (c. 1564 - 1638));;Oil on oak;49 x 65
295;Anthony, The Temptations of St - Munich;Bruegel, Jan the Elder (1568 - 1625) and Hieronymus Francken I (1540 - 1610);1600;Oil on copper;18,5 x 24,5
296;Anthony, The Temptations of St - Munich;Helmont, Mattheus van (1623 - 1679);;Oil on canvas;38 x 55
297;Anthony, The Temptations of St - Munich;Anonymous;;Oil on wood;31 x 44
298;Anthony, The Temptations of St - Munich;Bril, Paul (1554 - 1626) - in lines of;;Oil on canvas;52 x 85
299;Anthony, The Temptations of St - Nancy;Callot, Jacques (1592 - 1635);;Colored drawing;
300;Anthony, The Temptations of St - New Haven;Bruegel, Jan the Elder (1568 - 1625);1594;Oil on copper;25,2 x 35,2
301;Anthony, The Temptations of St - New Haven (USA);Anonymous;1561;Engraving;33 x 43,2
302;Anthony, The Temptations of St - New York;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);c. 1550;Oil on wood;22,5 x 34,9
303;Anthony, The Temptations of St - New York;Anonymous;1600-1649;Oil on panel;57,2 x 42,5
304;Anthony, The Temptations of St - New York;Wellens de Cock, Jan (1478 - c. 1528);1510-1520;Pen, or point of the brush, and gray ink, heightened with white gouache, on green prepared paper; verso: pen and brown ink;19,3 x 25,2
305;Anthony, The Temptations of St - New York;Anonymous - French;;Woodcut with hand coloring;35,7 x 49,4
306;Anthony, The Temptations of St - New York;Teniers, David II (1610 - 1690) - After;18/19th-century;Oil on Panel;36,8 x 45,2
307;Anthony, The Temptations of St - New York;Anonymous;;Oil on panel;79,2 x 113
308;Anthony, The Temptations of St - New York;Doetecom, Jan and Lucas;1559 -1593;Etching;33 x 43
309;Anthony, The Temptations of St - New York - Art Dealer Tunick;Anonymous;;Engraving;33,0 x 43,0
310;Anthony, The Temptations of St - New York - Christies;Saftleven, Cornelis (1607 - 1681);;Oil on panel;39,5 x 50,5
311;Anthony, The Temptations of St - New York - Christies;Teniers, David (1610 - 1690)- Follower of;;Oil on panel;72,4 x 56,5
312;Anthony, The Temptations of St - New York - Christies;Huys, Pieter (1519 - 1581);1500-1549;Oil on panel;56,5 x 43,5
313;Anthony, The Temptations of St - New York - Christies;Heemskerck, Egbert II van (1686 - 1744);1681-1744;Oil on Canvas;34,2 x 40,6
314;Anthony, The Temptations of St - New York - Christies;David Teniers - Follower;1625-1690;Oil on Copper;15,2 x 20
315;Anthony, The Temptations of St - New York - Christies;Heemskerck, Egbert van (1634 - 1704);;Oil on Canvas;29,7 x 35,2
316;Anthony, The Temptations of St - New York - Christies;David Teniers - Follower;;Oil on Panel;53,6 x 66,6
317;Anthony, The Temptations of St - New York - Christies;Anonymous;;;
318;Anthony, The Temptations of St - New York - Christies;Anonymous;;Oil on panel;29,5 x 35,5
1;Adoration of the Child, The - 's-Heerenberg version;Anonymous;16th century (?);Oil on panel;47,5 x 40
2;Adoration of the Child, The - 's-Hertogenbosch version;Anonymous;Circa 1550 (?);Oil on panel;58 x 76
3;Adoration of the Child, The - Brussels version;Anonymous;XVIB;Oil on panel (oak);64,2 x 59,6
4;Adoration of the Child, The - Cologne version;Anonymous;XVId;Oil on wood (oak);105,5 x 84,2
5;Adoration of the Magi (exterior panels) - Amsterdam;Anonymous;1510-1549;Oil in panel;30 x 12 (each)
6;Adoration of the Magi, The - Amsterdam;Anonymous;16th-century;Oil on wood;62 x 89
7;Adoration of the Magi, The - Anderlecht;Anonymous;1510 - 1520;Oil on wood;Central panel 78 x 62; Side panels 80,5 x 26,5
8;Adoration of the Magi, The - Antwerp;Bruegel, Pieter the Younger (c. 1564 - 1638));c. 1600;Oil on canvas;140,2 x 171,5
9;Adoration of the Magi, The - Antwerp;Jan Bruegel the Elder (1568 - 1625);c. 1600;Oil on copper;26,5 x 35,7
10;Adoration of the Magi, The - Antwerp;Jan Bruegel the Elder (1568 - 1625);c. 1600;Oil on wood;20,7 x 32
11;Adoration of the Magi, The - Antwerp;Jan Bruegel the Elder (1568 - 1625);c. 1594;Oil on copper;27,4 x 36
12;Adoration of the Magi, The - Brussels;Pieter Bruegel the Elder (c. 1523 - 1569);1556-1562;Tempera on canvas;124 x 169
13;;Flemish painter - Possibly Adriaen van Stalbemt;;Copper;22,7 x 33,4
14;Adoration of the Magi, The - Italy - Private collection;Anonymous;16th-century;Oil on panel;60 x 89
15;Adoration of the Magi, The - London;Jan Bruegel the Elder (1568 - 1625);;Oil on copper;17,5 x 34,5
16;Adoration of the Magi, The - London;Bruegel, Pieter the Younger (c. 1564 - 1638));;Oil on panel;124,2 x 168
17;Adoration of the Magi, The - London;Jan Bruegel the Elder (1568 - 1625);1598;parchment;32,9 x 48
18;Adoration of the Magi, The - London - Christies 2022;Pieter Bruegel the Younger - Workshop;;Oil on panel;122,5 x 168
19;Adoration of the Magi, The - New York;Anonymous;c. 1475;Oil, tempera and gold on Oak Panel;71,1 x 56,5
20;Adoration of the Magi, The - Philadelphia;Anonymous;1518 - 1550;Oil on panel;77,5 x 55.9
21;Adoration of the Magi, The - Private Collection;Anonymous;16th-century;Oil on panel;102 x 110
22;Adoration of the Magi, The - St Petersburg;Jan Bruegel the Elder (1568 - 1625);1598-1600;Oil;26,5 x 35,2
23;Adoration of the Magi, The - Vienna;Jan Bruegel the Elder (1568 - 1625);Before 1621;Oil on copper;33,7 x 48,7
24;Adoration of the Magi, The - Vienna - Dorotheum 2021;Follower Jan Bruegel;;Oil on copper;36 x 49
25;Adoration of the Magi, The (central panel) - Cologne;Anonymous;1551 - 1600;Oil on wood;66 x 44,2
26;Adoration of the Magi, The (copy of the Prado central panel);Anonymous;;Oil on canvas;102,5 x 75,7
27;Adoration of the Magi, The (copy of the Prado central panel) - 's-Hertogenbosch;Anonymous;c. 1554;Oil on panel;127,8 x 72,5
28;Adoration of the Magi, The (copy of the Prado central panel) - Aachen;Anonymous;c. 1540;Oil on wood;113 x 82
29;Adoration of the Magi, The (copy of the Prado central panel) - Amsterdam;Anonymous;1600 - 1650;Oil on panel;57,2 x 44,9
30;Adoration of the Magi, The (copy of the Prado central panel) - Amsterdam;Anonymous;16th-century;Oil on panel;105 x 73,5
31;Adoration of the Magi, The (copy of the Prado central panel) - Avignon;Anonymous;After 1520;Oil on oak panel;105 x 73
32;Adoration of the Magi, The (copy of the Prado central panel) - Banbury - Warwickshire;Anonymous Flemish painter;1495 - 1520;Oil on wood;91,4 x 72,9 (central panel); 88,3 x 28,9 (side-panels)
33;Adoration of the Magi, The (copy of the Prado central panel) - Berlin;Anonymous;c. 1550;Oil on panel;116 x 72
34;Adoration of the Magi, The (copy of the Prado central panel) - Brussels;Anonymous;16th-century;Oil on oak panel;105 x 75
35;Adoration of the Magi, The (copy of the Prado central panel) - Brussels;Anonymous;16th-century;Oil;102,2 x 77,7
36;Adoration of the Magi, The (copy of the Prado central panel) - London;Anonymous;17th-century;Oil on panel;93,5 x 72,2
37;Adoration of the Magi, The (copy of the Prado central panel) - London;Anonymous;16th-century;Oil on panel;82 x 74
38;Adoration of the Magi, The (copy of the Prado central panel) - Neuilly-sur-Seine;Anonymous;Before 1550;Oil on panel transferred to Canvas;107 x 67,5
39;Adoration of the Magi, The (copy of the Prado central panel) - New York;Anonymous;c. 1520;Oil on panel;106 x 74
40;Adoration of the Magi, The (copy of the Prado central panel) - New York;Anonymous;1500-1549;Oil on panel;98 x 64
41;Adoration of the Magi, The (copy of the Prado central panel) - Paris;Anonymous;;Oil on panel;65 x 51
42;Adoration of the Magi, The (copy of the Prado central panel) - Petworth;Anonymous;1515 - 1520;Oil on panel;100,5 x 73,5
43;Adoration of the Magi, The (copy of the Prado central panel) - Philadelphia;Anonymous;1500 - 1550;Oil on panel;94 x 74,4
44;Adoration of the Magi, The (copy of the Prado central panel) - Poznan;Anonymous;16th-century;Oil on panel;107,5 x 77
45;Adoration of the Magi, The (copy of the Prado central panel) - Stockholm;Anonymous;1500 - 1549;Oil on panel;110 x 73 (unverfehrt) - 101 x 73 (RKD)
46;Adoration of the Magi, The (copy of the Prado central panel) - Vienna;Anonymous;;;109 x 75 (framed)
47;Adoration of the Magi, The (copy of the Prado central panel) - Vienna - 1998;Anonymous;16th-century;Oil on panel;107 x 73
48;Adoration of the Magi, The (copy of the Prado central panel) - Whereabouts unknown;Anonymous;1495-1600;Oil on Panel;
49;Adoration of the Magi, The (copy of the Prado central panel) - Whereabouts unknown;Anonymous;1500-1600;Oil on panel;
50;Adoration of the Magi, The (copy of the Prado central panel) - Zurich;Anonymous;;Oil on canvas;102,5 x 75,7
51;Adoration of the Magi, The (exterior panels) - Anderlecht;The Master of Anderlecht - or School or Circle of Jheronimus Bosch;1510-1530;Oil on panel;80,5 x 26,5 (2x)
52;Adoration of the Magi, The (fragment of a copy of the Prado central panel) - Poznan;Anonymous;16th-century;Oil on panel;107,5 x 77
53;Adoration of the Magi, The (fragmentary central panel) - New York;Anonymous;;Oil on panel;70,8 x 55,6
54;Adoration of the Magi, The (Noordbrabants Museum) - 's-Hertogenbosch;Anonymous;c. 1542 or later;Oil on panel;70 x 56,7
55;Adoration of the Magi, The (triptych) - 's-Hertogenbosch;Anonymous;1510 - 1520;Oil on panel;85,5 x 133,7 (entire triptych)
56;Adoration of the Magi, The and Retinue of the Magi (fragmentary wings) - Philadelphia;Anonymous;Early 16th century;Oil on panel;36,2 x 21,3 - Right panel ; 37,5 x 22,5 Left panel
57;Aeneas and the Sybil in the Underworld - Amsterdam - Private collection;Anonymous;16th century;Oil on panel;62,5 x 88,5
58;Aeneas and the Sybil in the Underworld - Brussels;Anonymous;16th century;Oil on panel;
59;Aeneas and the Sybil in the Underworld - Brussels;Jan Bruegel the Elder (1568 - 1625);c. 1601;Copper;26,7 x 35,9
60;Aeneas and the Sybil in the Underworld - Brussels;Swanenburgh Jacob Isaakzn van, (1571 - 1638);c. 1600;Oil on canvas;101,5 x 150
61;Aeneas and the Sybil in the Underworld - Budapest;Jan Bruegel the Elder (1568-1625);c.1600;Oil on copper;26,4 x 36,2
62;Aeneas and the Sybil in the Underworld - Cologne;Anonymous follower of Jan Mandijn;Unknown date;Oil on wood;62,5 x 88,5; (Lempertz 63 x 87)
63;Aeneas and the Sybil in the Underworld - Gdansk;Swanenburgh Jacob Isaakzn (1571 - 1638);c.1600;Oil on Panel;101 x 140
64;Aeneas and the Sybil in the Underworld - Leiden;Swanenburgh Jacob Isaakzn van, (1571 - 1638) or Swanenburg;c. 1620;Oil on canvas;93,5 x 124
65;Aeneas and the Sybil in the Underworld - Ljubljana;Bruegel, Jan the Elder (1568 - 1625);c. 1605;Oil on copper;44,4 x 66,6
66;Aeneas and the Sybil in the Underworld - London - Sotheby's;Bruegel, Jan the Elder (1568 - 1625);1598;Oil on copper;26,4 x 35,3
67;Aeneas and the Sybil in the Underworld - Munich;Francken, Frans (1581 - 1642);;Copper;27,1 x 40,8
68;Aeneas and the Sybil in the Underworld - New York;Bruegel, Jan the Younger (1601 - 1678);1630;Oil on copper;26,7 x 35,9
69;Aeneas and the Sybil in the Underworld - Paris;Bruegel, Jan the Younger (1601 - 1678);1625 - 1674;Oil on oak panel (two planks);34 x 46,5
70;Aeneas and the Sybil in the Underworld - Rome;Bruegel, Jan the Elder (1568 - 1625);;Oil on copper;25,7 x 35,3
71;Aeneas and the Sybil in the Underworld - Vienna;Bruegel, Jan the Elder (1568 - 1625);c. 1600;Oil on copper;36 x 52
72;Alchemist, The - Paris;Joseph Heintz de J. (1600 - 1678);1650;;
73;Allegorical Scene - Milano;Joseph Heintz de J. (1600 - 1678);c. 1650-1678;Canvas;83 x 100
74;Allegory of Love or Vanitas - Milano;Joseph Heintz de J. (1600 - 1678);;Oil on panel;28,4 x 20,3
75;Allegory of the Apocalypse - Vienna;Joseph Heintz (1600 - 1678);1674;Oil on canvas;130,5 x 164
76;Allegory of the Wrong or Reverse World - Amsterdam;Anonymous after Peeter or Pieter Baltens;1535-1584;Woodcut;26,3 x 39,8
77;Anthony St, Studies for St Anthony and Monsters - Paris;Anonymous;1505-1510;Paper,pen and brown and grey ink.;20,5 x 26,3
78;Anthony, Scenes from the Life of St - Leiden;Anonymous (according the Museum);c.1530;Oil on wood;66 x 106,5
79;Anthony, St with Tree-man - Berlin;Anonymous;1510 - 1525;Pen and Brown Ink;25,7 x 17,6
80;Anthony, The Temptations of St - Adelaide;Anonymous;Mid 16th century;Pen and ink, black chalk on paper;30,3 x 46,1
81;Anthony, The Temptation of St - Cologne;David Teniers The Younger (1610-1690);1650-1690;Oil on panel (parquetted);49 x 63
82;Anthony, The Temptation of St - Genoa;David Teniers The Younger (1610-1690;1650 - 1690;Oil on Canvas;42 x 54
83;Anthony, The Temptations of St - 's-Hertogenbosch;Brothers Van Doetecum;1561;Paper and Ink;32,6 x 42,3
84;Anthony, The Temptations of St - Munich;David Teniers The Younger (1610-1690);;Oil on wood;44,5 x 45,2 (according Hampel)
85;Anthony, The Temptations of St - The Hague;Rijckaert, David III (1612 - 1661);;Oil on canvas;66 x 53
86;Anthony, The Temptations of St - Zurich;Craesbeeck Joos van (1625 - 1660);;Oil on canvas;45,5 x 59
87;Anthony, The Temptations of St - 's-Hertogenbosch;Anonymous;1550 - 1600;Oil on panel;63 x 82
88;Anthony, The Temptations of St - 's-Hertogenbosch;Anonymous;1525 - 1530;Oil on wood;25,5 x 22,5
89;Anthony, The Temptations of St - 's-Hertogenbosch;Anonymous - Circle Jheronimus Bosch - probably influences from Antwerp;c.1515;Oil on wood;58 x 50
90;Anthony, The Temptations of St - Ahlden;David Teniers The Younger (1610-1690);;Oil on wood;25,5 x 23,2
91;Anthony, The Temptations of St - Ahlden;David Teniers The Younger (1610-1690) - After;;Oil on wood;19,5 x 34
92;Anthony, The Temptations of St - Ahlden - Schloss Ahlden;Frans Francken or David Teniers;;Oil on wood;31,8 x 25
93;Anthony, The Temptations of St - Amsterdam;Teniers, David The Younger (1610 - 1690);1660;Oil on panel;31 x 23
94;Anthony, The Temptations of St - Amsterdam;Wellens de Cock, Jan (1478 - c. 1528);1522;Woodcut;26,7 x 38,4
95;Anthony, The Temptations of St - Amsterdam;Anonymous;;Oil on wood;21,5 x 33
96;Anthony, The Temptations of St - Amsterdam - Art Dealer Brandt;Bril, Paul (1554 -1626) - Possibly;1601 (dated);Oil on panel;42,5 x 60
97;Anthony, The Temptations of St - Amsterdam - Art Dealer Cervat;Jan Mandijn (c. 1500-1560) - Possibly;1525 - 1574;Oil on panel;22,5 x 28,5
98;Anthony, The Temptations of St - Amsterdam - Art Dealer De Boer;Mandijn Jan (c. 1500 - 1560) - Possibly;c. 1560;;43 x 58
99;Anthony, The Temptations of St - Amsterdam - Art Dealer Goudstikker;Anonymous;1525-1574;Oil on panel;23 x 29
100;Anthony, The Temptations of St - Amsterdam - Art Dealer Jurgely;Anonymous;16th-century;Oil on panel;38 x 57
101;Anthony, The Temptations of St - Amsterdam - Christies;Mandijn Jan (c. 1500 - 1560);;Oil on panel;36,8 x 54,7
102;Anthony, The Temptations of St - Amsterdam - Christies;Schoubroeck, Pieter (1560/1580 - 1607);;Oil on panel;13,8 x 23,5
103;Anthony, The Temptations of St - Amsterdam - Christies;Jan Bruegel the Elder (1568 - 1628) - circle;1583-1625;Drawing on paper, pen in brown;16,0 x 25,7
104;Anthony, The Temptations of St - Amsterdam - Christies;David Teniers The Younger (1610-1690);;Oil on panel;33,2 x 25,2
105;Anthony, The Temptations of St - Amsterdam - Christies;David Teniers The Younger (1610-1690)- After;;Oil on canvas;57,8 x 83,9
106;Anthony, The Temptations of St - Amsterdam - Christies;Huys, Pieter (1519 - 1581) or Circle;;Oil on canvas;43,18 x 45,88
107;Anthony, The Temptations of St - Amsterdam - Christies;Anonymous;1550-1599;Oil on copper;18,9 x 25,1
108;Anthony, The Temptations of St - Amsterdam - Christies;Rijckaert, David III (1612 - 1661);1627-1661;Oil on copper;60,8 x 88,2
109;Anthony, The Temptations of St - Amsterdam - Christies;Anonymous;After 1557;Oil on panel;61,9 x 46,8
110;Anthony, The Temptations of St - Amsterdam - Christies;Teniers, David The Younger (1610 - 1690) - or Circle;;Oil on canvas;84,2 x 119,2
111;Anthony, The Temptations of St - Amsterdam - Christies;Anonymous - Probably the Atelier of the Master of the Female Half-Lenghts;1525-1550;Oil on panel;47,8 x 33,7
112;Anthony, The Temptations of St - Amsterdam - Christies;Saftleven, Cornelis (1607 - 1681);;Oil on panel;40 x 55,7
113;Anthony, The Temptations of St - Amsterdam - Christies;Anonymous;;Oil on canvas;67 x 52,5
114;Anthony, The Temptations of St - Amsterdam - Christies 1996;Egbert van Heemskerck (1634 - 1704);;OIl on canvas;85,3 x 135,3
115;Anthony, The Temptations of St - Amsterdam - Christies 2000;Anonymous;16th century;Oil on panel;59,7 x 93,2
116;Anthony, The Temptations of St - Amsterdam - Sotheby's;Saftleven, Cornelis (1607 - 1681);1629;Oil on panel;26,5 x 34,7
117;Anthony, The Temptations of St - Amsterdam - Sotheby's;Helmont, Mattheus van (1623 - 1679);c. 1675;Oil on canvas;58,8 x 82,7
118;Anthony, The Temptations of St - Amsterdam - Sotheby's;Franciscus Carré (1630 -1669);1656;Oil on panel;36,5 x 31
119;Anthony, The Temptations of St - Amsterdam - Sotheby's;Helmont, Mattheus van (1623 - 1679);1678;Oil on canvas;55,4 x 69
120;Anthony, The Temptations of St - Amsterdam - Sotheby's;Anonymous;;Oil on copper;25,9 x 33,7
121;Anthony, The Temptations of St - Anderlecht;Pieter Huys (1519-1581);1546;Oil on wood;117 x 145
122;Anthony, The Temptations of St - Antwerp;Unknown - Formely attributed to Pieter Huys;;Panel;35 x 55
123;Anthony, The Temptations of St - Antwerp;Teniers, David The Younger (1610 - 1690);After 1650;Oil on wood;26,4 x 36,6
124;Anthony, The Temptations of St - Antwerp;Vos, Maerten de (1532 - 1603);;Engraving;95 X 71,3
125;Anthony, The Temptations of St - Antwerp;Vos, Maerten de (1532 - 1603);1591 - 1594;Oil on panel;280 x 212
126;Anthony, The Temptations of St - Antwerp;Vos, Maerten de (1532 - 1603) - School or Circle;;;46,6 x 176
127;Anthony, The Temptations of St - Antwerp;Huys, Pieter (1519 - 1581);1577;Oil on wood;77 x 93,9 (Museum, Unverfehrt and RKD); 76 x 94 (Wikimedia)
128;Anthony, The Temptations of St - Antwerp;Teniers, David The Younger (1610 - 1690);;Oil on canvas;76 x 54
129;Anthony, The Temptations of St - Antwerp Bernaerts 2022;Anonymous - Formely attributed to Pieter Huys;;Panel;35 x 55
